Trade,Side,Entry Time,Entry Price,Exit Time,Exit Price,Duration,Position Size (K USDC),Profit/Loss (USDC),Profit/Loss (%)
1,Long,2026-03-10 20:00,224.0,,,133.86,29.98,-1836.21,-6.12
2,Short,2026-03-12 13:00,210.5,2026-03-15 15:00,227.6,139.85,29.44,-2422.09,-8.22
3,Long,2026-03-15 15:00,227.6,2026-03-16 17:00,249.1,37.85,8.61,804.68,9.34
4,Long,2026-03-15 15:00,227.6,2026-03-16 18:00,269.2,26.49,6.03,1095.51,18.16
5,Long,2026-03-15 15:00,227.6,2026-03-16 19:00,270.6,24.73,5.63,1057.08,18.77
6,Long,2026-03-15 15:00,227.6,2026-03-20 06:30,235.5,37.09,8.44,284.42,3.37
7,Short,2026-03-20 06:30,235.5,2026-03-21 23:30,219.7,37.81,8.9,588.8,6.61
8,Short,2026-03-20 06:30,235.5,2026-03-22 21:00,215.8,26.47,6.23,515.44,8.27
9,Short,2026-03-20 06:30,235.5,2026-03-25 04:00,238.9,61.76,14.54,-224.63,-1.54
10,Long,2026-03-25 04:00,238.9,2026-03-26 23:00,222.3,125.38,29.95,-2109.72,-7.04
11,Short,2026-03-26 23:00,222.3,2026-03-27 11:00,214.9,39.56,8.79,284.11,3.23
12,Short,2026-03-26 23:00,222.3,2026-03-31 07:00,228.7,92.31,20.52,-611.61,-2.98
13,Long,2026-03-31 07:00,228.7,2026-03-31 10:00,237.7,38.32,8.76,335.99,3.83
14,Long,2026-03-31 07:00,228.7,2026-03-31 11:00,249.0,26.83,6.14,538.19,8.77
15,Long,2026-03-31 07:00,228.7,2026-03-31 11:30,254.9,25.04,5.73,649.96,11.34
16,Long,2026-03-31 07:00,228.7,2026-04-16 12:00,342.6,37.56,8.59,4267.17,49.65
17,Short,2026-04-16 12:00,342.6,2026-04-17 05:00,332.0,27.1,9.29,278.15,2.99
18,Short,2026-04-16 12:00,342.6,2026-04-18 19:30,320.3,18.97,6.5,416.79,6.41
19,Short,2026-04-16 12:00,342.6,2026-04-19 19:30,305.3,17.71,6.07,654.75,10.79
20,Short,2026-04-16 12:00,342.6,2026-04-24 06:00,349.1,26.56,9.1,-181.83,-2.0
21,Long,2026-04-24 06:00,349.1,2026-04-28 16:00,334.8,89.66,31.3,-1312.84,-4.19
22,Short,2026-04-28 16:00,334.8,2026-04-29 15:30,318.4,27.7,9.27,445.2,4.8
23,Short,2026-04-28 16:00,334.8,2026-05-01 13:00,349.5,64.63,21.64,-972.15,-4.49
24,Long,2026-05-01 13:00,349.5,2026-05-01 16:00,368.1,26.4,9.23,481.5,5.22
25,Long,2026-05-01 13:00,349.5,2026-05-01 16:30,379.0,18.48,6.46,538.35,8.33
